Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Penalaran Umum|Day 2|13|Menonton film bermanfaat menambah pengetahuan karena memberi wawasan mengenai berbagai topik. Selain itu, menonton film juga meningkatkan empati dan menjadi sumber inspirasi. Walaupun demikian, menonton film secara ber- lebihan dapat menimbulkan dampak negatif, seperti berkurangnya waktu untuk melakukan aktivitas lain yang dapat mengurangi produktivitas. Berdasarkan informasi tersebut manakah pernyataan berikut yang PASTI BENAR?|Menonton film akan cenderung menurunkan produktivitas seseorang.|Beberapa orang yang produktif akan meluangkan waktu menonton film de- ngan tema positif.|Beberapa masalah pemanfaatan waktu diakibatkan menonton film berle- bihan.|Kurangnya rasa empati dapat diatasi dengan menonton film.|Orang yang waktu beraktivitasnya sedikit biasanya sering menonton film.|C|
Penalaran Umum|Day 2|14|Desa MN dikenal dengan penghasil buah dan sayuran segar yang terletak di wilayah perbukitan. Sebagian besar penduduknya bekerja sebagai petani. Desa ini mengadakan pesta hasil bumi ketika warga berkumpul merayakannya dan pengunjung menikmati keindahan alam desa. Berdasarkan catatan, setidaknya petani di sana menikmati panen minimal dua kali dalam setahun. Berdasarkan paragraf di atas, manakah di bawah ini pernyataan yang PALING MUNGKIN BENAR mengenai Desa MN?|Hasil panen buah di desa MN akan meningkat setiap musim panen.|Jumlah hasil panen hasil bumi Desa MN lebih banyak daripada desa lain.|Jika target panen tidak tercapai pesta hasil bumi di desa MN tidak dise- lenggarakan.|Sebelum menjadi penghasil buah dan sayuran, Desa MN tidak memiliki banyak petani.|Warga desa MN akan merayakan panen hasil bumi setiap tahun.|E|
Penalaran Umum|Day 2|15|Bapak A sedang mempertimbangkan membeli kursi tamu merek X yang nyaman, tetapi tidak dapat menahan berat yang berlebihan. Ia juga mempertimbangkan membeli kursi tamu merek Y, yang kurang nyaman, tetapi kuat menahan beban berlebihan. Ia memutuskan membeli kursi tamu merek Y sekaligus menghindari kerusakan ketika diduduki. Manakah yang PALING MEMPERKUAT keputusan Bapak A?|Bapak A menyiapkan anggaran yang cukup besar untuk membeli kursi ta- mu.|Kursi tamu merek X sering dipakai untuk mendukung berbagai keperluan.|Kursi tamu merek Y kurang laris di pasaran karena kurang nyaman dipakai.|Bapak A ingin kursinya dapat diduduki beberapa orang sekaligus.|Tidak banyak toko yang menjual kursi tamu merek X dalam jumlah yang banyak.|D|
Penalaran Umum|Day 2|16|Kualitas baterai adalah faktor yang mendukung kemampuan mobil listrik un- tuk dipakai dalam perjalanan jarak jauh. Pengamat menjelaskan bahwa bate- rai merek P lebih cepat aus dibandingkan dengan baterai merek Q. Manakah pernyataan di bawah ini yang PALING MEMPERLEMAH pendapat pengamat tersebut?|Baterai merek Q dipakai mobil para pengusaha.|Baterai merek P jarang direkomendasikan oleh pengguna mobil listrik.|Baterai merek Q sudah dikenal kualitasnya di kalangan pecinta mobil listrik.|Mobil listrik menggunakan teknologi ramah lingkungan.|Baterai merek P dibuat dari bahan berkualitas.|E|
Penalaran Umum|Day 2|17|Kepala desa X mengatakan bahwa tingkat kekurangan gizi di desa X Mengalami penurunan bertahap dalam satu tahun terakhir. Hal ini karena kader Posyandu berhasil menjalankan program edukasi tentang makanan bergizi kepada ibu-ibu di desa tersebut. Manakah pernyataan berikut, yang jika benar, akan MEM- PERKUAT pernyataan Kepala Desa X?|Desa lainnya tidak menjalankan program edukasi tentang makanan bergizi.|Sejak dulu ibu-ibu di Desa X cenderung menerapkan program edukasi ten- tang makanan bergizi.|Tidak semua ibu-ibu di Desa X menerapkan program edukasi tentang ma- kanan bergizi.|Jumlah ibu-ibu yang mengikuti program edukasi tentang makanan bergizi lebih banyak belakangan ini.|Program edukasi tentang makanan bergizi lebih fokus pada pengentasan kemiskinan.|D|
Penalaran Umum|Day 2|18|Dalam beberapa tahun terakhir, banyak sekolah di Kota Z menerapkan program daur ulang sampah sebagai upaya mengurangi limbah plastik. Seperti halnya filter udara yang menyaring partikel berbahaya agar udara tetap bersih, program daur ulang sampah dapat mengurangi jumlah plastik yang mencemari lingkungan sehingga lingkungan menjadi lebih sehat bagi masyarakat. Jika limbah plastik terus meningkat, ekosistem akan terganggu dan keanekaragaman hayati akan menurun. Berdasarkan paragraf tersebut, jika daur ulang sampah disamakan dengan filter udara, manakah di bawah ini simpulan yang PALING MUNGKIN BENAR?|Lingkungan tidak sehat hanya jika program daur ulang sampah tidak dite- rapkan.|Udara yang tidak disaring akan mengganggu kesehatan lingkungan.|Daur ulang sampah seperti filter udara yang dapat mengurangi pencemaran plastik.|Tingginya limbah plastik ditandai dengan banyaknya program daur ulang sampah.|Jika program daur ulang sampah diterapkan, penurunan keanekaragaman hayati dapat dicegah.|E|
Penalaran Umum|Day 2|19|Seorang guru dituntut untuk meningkatkan kompetensi mengajar. Karena waktu yang terbatas, dia harus memilih antara mengikuti pelatihan manajemen pendi- dikan atau mengikuti program guru inovatif. Jika mengikuti pelatihan manaje- men pendidikan, ia bisa mengelola kurikulum sekolah. Jika mengikuti program guru inovatif, ia akan kreatif dalam mengajar. Berdasarkan bacaan di atas mana- kah dari pernyataan berikut yang PALING TEPAT menggambarkan keputusan guru tersebut?|Jika mengikuti pelatihan manajemen pendidikan, ia dapat mengelola kuri- kulum sekolah maupun kreatif dalam mengajar.|Jika mengikuti program guru inovatif, ia tidak bisa mengelola kurikulum di sekolah akademis.|Jika memilih salah satu kegiatan, ia tidak bisa mengelola kurikulum sekolah dan tidak kreatif dalam mengajar.|Jika mengikuti keduanya, ia dapat mengelola kurikulum sekolah atau kreatif dalam mengajar.|Jika mengikuti salah satu kegiatan, ia dapat mengelola kurikulum sekolah atau kreatif dalam mengajar.|E|
Penalaran Umum|Day 2|20|Untuk bisa mengikuti kompetisi pembuatan konten digital di media Z, peser- ta harus membuat konten yang bertema edukatif. Selain itu, konten tersebut harus menggunakan animasi. Salah satu karya kreator konten X menggunakan tokoh kartun yang disukai anak-anak. Kesimpulannya kreator konten X pernah mengikuti kompetisi pembuatan konten digital di media Z. Manakah pernyataan berikut yang menggambarkan kualitas kesimpulan tersebut?|Kesimpulan tersebut dapat dipastikan benar.|Kesimpulan tersebut memiliki kemungkinan benar.|Kesimpulan tersebut dapat dipastikan salah.|Kesimpulan tersebut memiliki kemungkinan salah.|Kesimpulan tidak relevan dengan informasi yang diberikan.|E|
Penalaran Umum|Day 3 Sesi 1|1|Apabila tidak mengikuti latihan rutin setiap minggu, anggota UKM tidak di- izinkan mengikuti pementasan teater. Aturan ini berlaku bagi anggota baru UKM Seni. Manakah kesimpulan berikut yang BENAR?|Anggota baru UKM bisa mengikuti latihan rutin setiap minggu untuk men- dukung pementasan teater.|Anggota baru UKM Seni tidak diizinkan ikut dalam pementasan teater jika tidak mengikuti latihan rutin setiap minggu.|Semua anggota UKM Seni diizinkan mengikuti pementasan teater jika meng- ikuti latihan rutin setiap minggu.|Sebagian anggota UKM Seni diizinkan ikut dalam pementasan teater mes- kipun tidak mengikuti latihan rutin setiap minggu.|Semua anggota UKM melakukan latihan rutin setiap minggu, kecuali untuk anggota baru.|B|
Penalaran Umum|Day 3 Sesi 1|2|Peneliti di Lembaga AWB yang mendapat penghargaan produktif menulis buku. Sebagian dari mereka lebih sering mengikuti seminar internasional dibandingkan peneliti lain. Berdasarkan informasi di atas, manakah simpulan yang PALING TEPAT?|Peneliti di Lembaga AWB yang mendapat penghargaan produktif menulis buku dan sering mengikuti seminar internasional dibandingkan peneliti lain.|Sebagian peneliti yang tidak sering mengikuti seminar internasional diban- dingkan peneliti lain bukan peneliti di Lembaga AWB.|Beberapa peneliti di Lembaga AWB produktif menulis buku, tetapi tidak sering mengikuti seminar internasional dibandingkan peneliti lain.|Beberapa peneliti di Lembaga AWB produktif menulis buku dan lebih sering mengikuti seminar internasional dibandingkan peneliti lain.|Peneliti di Lembaga AWB yang mendapat penghargaan lebih sering meng- ikuti seminar internasional dibandingkan peneliti lain.|D|
Penalaran Umum|Day 3 Sesi 1|3|Di awal semester baru, X akan mendaftar sebagai pengurus olahraga atau pra- muka di sekolah. Kakak kelasnya menyarankan X bergabung sebagai pengurus fotografi. Karena pengurus fotografi sering bepergian ke luar kota, orang tuanya tidak mengizinkannya bergabung. Apa yang PALING MUNGKIN dilakukan X pada awal semester?|Bergabung dengan ekskul olahraga dan ekskul pramuka.|Mendaftar sebagai pengurus fotografi setelah orang tua mengizinkan.|Mendaftar sebagai pengurus olahraga atau pramuka.|Mendaftar sebagai pengurus olahraga, tetapi tidak di pramuka.|Mendaftar sebagai pengurus pramuka, tetapi tidak di olahraga.|C|
Penalaran Umum|Day 3 Sesi 1|4|Ketika Budi mengonsumsi beras merah, kadar gula darahnya menurun diban- dingkan ketika ia tidak mengonsumsinya. Hal serupa terjadi ketika Budi meng- onsumsi kacang-kacangan. Namun, ketika Budi mengonsumsi beras putih, kadar gula darahnya tidak menurun dibandingkan ketika ia tidak mengonsumsinya. Berdasarkan informasi di atas, manakah dari pernyataan berikut yang PALING MUNGKIN BENAR?|Mengonsumsi beras merah atau kacang-kacangan menyebabkan kadar gula darah Budi menurun.|Kadar gula darah Budi akan mengalami peningkatan ketika ia tidak meng- onsumsi kacang-kacangan.|Mengonsumsi beras merah jika dikombinasikan dengan makanan lain me- nurunkan kadar gula darah Budi.|Meski Budi mengonsumsi kacang-kacangan yang dicampur dengan makan- an lain, kadar gulanya menurun.|Mengonsumsi beras putih menurunkan kadar gula darah dibandingkan ke- tika mengonsumsi beras merah.|A|
Penalaran Umum|Day 3 Sesi 1|5|Banyaknya penjual makanan cepat saji di Provinsi GFR menyebabkan banyak- nya sampah plastik pembungkus makanan. Banyaknya sampah plastik yang beredar menyebabkan gorong-gorong tersumbat. Walaupun pemerintah telah melakukan normalisasi sungai, banjir di daerah tersebut tidak dapat dicegah karena gorong-gorong yang tersumbat. Berdasarkan informasi di atas, manakah pernyataan di bawah ini yang BENAR?|Normalisasi sungai menyebabkan banyaknya penjual makanan cepat saji.|Maraknya penggunaan plastik disebabkan oleh normalisasi sungai yang ti- dak efektif.|Tersumbatnya gorong-gorong menyebabkan perlunya normalisasi sungai.|Tersumbatnya gorong-gorong disebabkan oleh banyaknya penjual makanan cepat saji.|Meningkatnya kejadian banjir disebabkan oleh banyaknya penjual makanan cepat saji.|E|
Penalaran Umum|Day 3 Sesi 1|6|Ponsel pintar banyak digunakan orang untuk mendapatkan informasi. Selain itu, ponsel pintar juga menjadi sarana hiburan. Namun, penggunaan ponsel pintar yang berlebihan dapat menyebabkan dampak negatif bagi kesehatan fisik dan relasi sosial. Penggunaan ponsel pintar yang berlebihan dapat meningkatkan risiko kerusakan mata dan mengurangi kemampuan berinteraksi secara langsung dengan orang lain. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI SA- LAH?|Penggunaan ponsel pintar tidak menurunkan kemampuan individu dalam berinteraksi dengan lingkungan sosial.|Potensi kerusakan mata cenderung meningkat karena penggunaan ponsel pintar secara berlebihan.|Orang akan mengalami kesulitan berinteraksi sosial secara langsung karena menggunakan ponsel pintar berlebihan.|Ponsel pintar dapat menyebabkan orang mendapatkan kemudahan bertran- saksi keuangan.|Orang yang memiliki mata yang sehat mungkin tidak menggunakan ponsel pintar secara berlebihan.|A|
Penalaran Umum|Day 3 Sesi 1|7|Memasak tanpa minyak banyak disukai karena menurunkan risiko penyakit jan- tung dan obesitas. Salah satu cara memasak tanpa minyak adalah dengan metode X yang dapat mencegah permasalahan kulit dan menurunkan risiko kanker. Berdasarkan paparan tersebut, manakah simpulan yang PALING TEPAT?|Hanya metode memasak dengan jenis X yang dapat menurunkan obesitas.|Beberapa orang menggunakan metode memasak jenis X karena lebih sehat.|Metode memasak tanpa minyak yang menurunkan obesitas pasti mencegah masalah kulit.|Semua metode memasak tanpa minyak dapat mencegah permasalahan kulit.|Metode memasak selain metode jenis X tidak menurunkan risiko penyakit kanker. 8. Harga buah M sangat mahal karena petani buah M gagal panen. Biasanya, pada musim kemarau, petani buah M panen raya. Berdasarkan pernyataan di atas, manakah simpulan yang BENAR? (a) Harga buah M murah saat panen raya. (b) Saat ini akan memasuki musim kemarau. (c) Saat ini masa panen raya bagi petani buah M. (d) Harga buah M murah saat bukan musim kemarau. (e) Saat ini bukan musim kemarau. 9. Tim Negara X menjuarai badminton beregu berkat mental tanding yang tangguh dan adanya latihan ekstra. Adanya latihan ekstra tersebut terlihat dari penam- bahan durasi latihan dan adanya hukuman bagi yang melakukan kesalahan. Se- lain itu, kuatnya mental membuat pemain tahan terhadap tekanan yang terlihat dari minimnya kesalahan saat bertanding dan terlihat santai saat pertandingan. Jika tim Negara X terlihat minim melakukan kesalahan, manakah kesimpulan di bawah ini yang PALING MUNGKIN BENAR? (a) Pemain melampiaskan hukuman yang diterima dengan bercanda. (b) Target menjadi juara membuat mereka harus bertanding lebih santai. (c) Pemain tim Negara X memiliki mental yang kuat saat pertandingan. (d) Mereka mampu menunjukkan sikap yang santai pada saat pertandingan. (e) Mereka mampu melepas ketegangan karena telah berlatih dengan ekstra.|B|
Penalaran Umum|Day 3 Sesi 1|10|Sebuah usaha cuci dan setrika pakaian pada awal dibuka memiliki pelanggan yang banyak. Setelah berjalan dan berganti pengelola, waktu penyelesaian cucian menjadi lebih lama serta pengemasan menjadi kurang rapi. Manakah pernyataan berikut yang PALING MUNGKIN menjelaskan perbedaan kedua kondisi tersebut?|Pada awal dibuka, usaha cuci dan setrika pakaian tersebut banyak membe- rikan promosi.|Usaha cuci dan setrika yang dikelola saat ini kurang memprioritaskan ke- puasan pelanggan.|Pemilik usaha tersebut masih menggunakan mesin cuci tipe lama yang sa- ngat terbatas.|Di bawah penanggung jawab baru, pengelolaan usaha cucian tidak dilakuk- an secara profesional.|Usaha cuci dan setrika setelah dikelola oleh penanggung jawab baru memi- liki banyak pesaing.|D|
Penalaran Umum|Day 3 Sesi 1|11|Meminum kopi kini menjadi aktivitas kaum muda sebagai kegiatan untuk berso- sialisasi dan menikmati waktu santai. Banyak di antara pecinta kopi yang men- jadikan kegiatan ini sebagai cara untuk membangun sebuah komunitas. Para pengamat menjelaskan bahwa kopi yang diminum seseorang dapat menunjukkan status sosial mereka. Berdasarkan tulisan di atas, manakah yang PALING MUNGKIN mendasari ar- gumen pengamat?|Kaum muda membutuhkan komunitas bersosialisasi.|Meminum kopi bukan sekedar kegiatan waktu santai.|Meminum kopi sering dilakukan secara berkelompok.|Meminum kopi dapat menunjukkan gaya hidup.|Munculnya berbagai kafe yang menyediakan kopi.|D|
Penalaran Umum|Day 3 Sesi 1|12|Pakar 1 menyatakan bahwa kualitas pendidikan Universitas X lebih maju da- ri Universitas Y. Pakar 2 menyatakan bahwa Universitas X tidak memberikan insentif yang layak bagi dosen dan penelitinya. Sementara itu, menurut data organisasi pendidikan dunia, lebih banyak lulusan Universitas X memiliki karier yang sukses dibandingkan Universitas Y. Manakah pernyataan yang PALING TEPAT mengenai data dari organisasi pen- didikan tersebut?|Memperkuat pernyataan Pakar 1.|Memperlemah pernyataan Pakar 1.|Memperkuat pernyataan Pakar 2.|Memperlemah pernyataan Pakar 2.|Tidak relevan dengan pernyataan Pakar 1 dan Pakar 2.|A|
Penalaran Umum|Day 3 Sesi 1|13|Memelihara burung bermanfaat untuk meningkatkan ketenangan batin karena kicauannya membantu meredakan stres dan kecemasan. Selain itu, memelihara burung juga membangun relasi dengan sesama penggemar burung dan menam- bah rasa persaudaraan. Walaupun demikian, memelihara burung terlalu banyak dapat menimbulkan dampak negatif, seperti menambah pengeluaran yang dapat menimbulkan masalah finansial. Berdasarkan informasi tersebut, manakah pernyataan berikut yang PASTI BE- NAR?|Memelihara burung akan menyebabkan munculnya masalah keuangan.|Beberapa masalah keuangan diakibatkan oleh memelihara terlalu banyak burung.|Beberapa orang yang memiliki masalah finansial menghindari memelihara burung.|Kurangnya rasa persaudaraan dapat diatasi dengan memelihara burung.|Orang yang memiliki pengeluaran besar biasanya memelihara burung yang banyak.|B|
Penalaran Umum|Day 3 Sesi 1|14|Desa MT yang terletak di tepi hutan terkenal dengan perburuan madu hutan alami yang telah menjadi tradisi turun-temurun. Lebah-lebah di sekitar desa menghasilkan madu berkualitas tinggi karena keanekaragaman flora hutan. Se- tiap musim panas, warga desa mengadakan obral madu untuk merayakan hasil berburu madu yang melimpah. Berdasarkan catatan, Desa MT mengadakan acara tersebut setidaknya dua kali dalam setahun. Berdasarkan paragraf di atas, manakah di bawah ini pernyataan yang PALING MUNGKIN BENAR mengenai Desa MT?|Sudah menjadi tradisi warga Desa MT hanya bekerja sebagai pemburu ma- du hutan.|Desa MT menjual madu yang lebih berkualitas dibandingkan desa lain.|Warga Desa MT akan mengadakan obral madu pada tahun depan.|Sebelum ada tradisi perburuan madu, Desa MT tidak merayakan acara obral madu.|Hasil berburu madu hutan warga Desa MT akan terus meningkat setiap tahunnya.|C|
